Time,OriginalAcc,LowNoiseDis10,LowNoiseDis20,HighNoiseDis10,HighNoiseDis20
7.75E-01,5.32E-01,766,613,598,683
7.80E-01,5.92E-01,796,637,734,839
7.85E-01,2.30E-01,615,492,813,930
7.90E-01,-4.91E-01,254,203,741,847
7.95E-01,-9.12E-01,44,35,509,581
8.00E-01,-6.41E-01,180,144,134,153
8.05E-01,-2.70E-01,365,292,-115,-132
8.10E-01,4.28E-01,714,571,-58,-66
8.15E-01,-6.75E-01,163,130,34,39
8.20E-01,-7.90E-01,105,84,243,277
8.25E-01,5.83E-01,791,633,650,743
8.30E-01,2.20E+00,1602,1282,731,835
8.35E-01,8.50E-01,925,740,827,945
8.40E-01,-2.06E-01,397,318,752,860
8.45E-01,-4.62E-01,269,215,624,714
8.50E-01,6.73E-01,837,669,614,701
8.55E-01,1.30E+00,1150,920,492,563
8.60E-01,5.70E-01,785,628,262,300
8.65E-01,-1.03E+00,-17,-14,169,193
8.70E-01,-1.45E+00,-226,-181,56,64
8.75E-01,-4.11E-01,295,236,-23,-26
8.80E-01,8.10E-01,905,724,35,39
8.85E-01,5.80E-02,529,423,130,149
8.90E-01,-8.01E-01,100,80,359,410
8.95E-01,-9.25E-01,37,30,535,612
9.00E-01,-4.57E-01,272,217,1004,1148
9.05E-01,9.42E-02,547,438,1254,1433
9.10E-01,6.98E-02,535,428,1529,1747
9.15E-01,-1.86E-01,407,326,1235,1411
9.20E-01,-3.78E-01,311,249,987,1129
9.25E-01,6.04E-02,530,424,1028,1175
9.30E-01,1.55E-01,577,462,1124,1285
9.35E-01,3.29E-02,516,413,873,997
9.40E-01,-3.08E-01,346,277,794,907
9.45E-01,-5.06E-01,247,198,909,1039
9.50E-01,-3.84E-01,308,246,1222,1397
9.55E-01,6.30E-02,532,425,1133,1295
9.60E-01,4.16E-02,521,417,453,518
9.65E-01,-2.17E-01,391,313,-915,-1046
9.70E-01,-7.80E-01,110,88,-1667,-1905
9.75E-01,-4.49E-01,276,221,-651,-744
9.80E-01,-1.78E-01,411,329,-559,-639
9.85E-01,-1.17E-01,441,353,276,316
9.90E-01,-4.40E-01,280,224,1050,1200
9.95E-01,-2.18E-01,391,313,1561,1785
1.00E+00,9.27E-02,546,437,1359,1553
1.01E+00,2.48E-01,624,499,1502,1716
1.01E+00,-2.33E-01,383,307,1709,1953
1.02E+00,-4.80E-01,260,208,1988,2272
1.02E+00,-3.46E-01,327,262,3337,3813
1.03E+00,-8.72E-02,456,365,3207,3665
1.03E+00,-1.82E-01,409,327,1653,1890
1.04E+00,-1.18E-01,441,353,-190,-217
1.04E+00,1.13E-01,557,445,-754,-862
1.05E+00,3.45E-01,672,538,379,433
1.05E+00,2.69E-01,634,507,708,809
1.06E+00,-1.16E-02,494,395,-441,-504
1.06E+00,-1.64E-01,418,334,228,261
1.07E+00,-3.59E-01,321,256,-984,-1125
1.07E+00,-4.32E-01,284,227,-596,-682
1.08E+00,-1.55E-01,422,338,791,904
1.08E+00,1.52E-01,576,461,-1555,-1777
1.09E+00,-1.16E-01,442,354,-3358,-3838
1.09E+00,-3.68E-01,316,253,1927,2202
1.10E+00,-7.09E-01,145,116,1801,2058
1.10E+00,-3.35E-01,333,266,1820,2080
1.11E+00,-7.63E-02,462,369,1064,1216
1.11E+00,-1.16E-01,442,354,205,235
1.12E+00,-4.30E-01,285,228,263,300
1.12E+00,-2.47E-01,376,301,1450,1657
1.13E+00,4.51E-02,523,418,1597,1825
1.13E+00,3.65E-01,682,546,2509,2867
1.14E+00,3.40E-01,670,536,2396,2738
1.14E+00,2.46E-01,623,498,717,819
1.15E+00,2.64E-01,632,506,-1307,-1494
1.15E+00,8.42E-01,921,737,-1456,-1665
1.16E+00,-4.06E-01,297,238,140,160
1.16E+00,-2.48E-01,376,301,-480,-549
1.17E+00,4.11E+00,2557,2046,240,274
1.17E+00,-6.89E-01,155,124,-63,-72
1.18E+00,-1.24E+00,-122,-97,1250,1429
1.18E+00,-3.30E-01,335,268,1173,1341
1.19E+00,-1.04E+00,-20,-16,965,1102
1.19E+00,-1.08E+00,-41,-33,777,888
1.20E+00,-1.60E+00,-298,-239,677,774
1.20E+00,7.75E-02,539,431,475,542
1.21E+00,3.12E+00,2061,1649,328,374
1.21E+00,3.85E+00,2423,1938,317,362
1.22E+00,3.18E-01,659,527,596,681
1.22E+00,-7.48E-01,126,101,739,845
1.23E+00,-1.07E+00,-37,-29,620,708
1.23E+00,1.08E+00,1042,834,483,553
1.24E+00,1.71E+00,1354,1083,675,772
1.24E+00,1.27E+00,1134,907,735,840
1.25E+00,-2.70E-01,365,292,731,835
1.25E+00,-2.68E+00,-842,-674,601,687
1.26E+00,-4.01E-01,299,240,618,706
1.26E+00,-4.90E-01,255,204,714,816
1.27E+00,-8.17E-02,459,367,676,772
1.27E+00,-7.00E-01,150,120,392,448
1.28E+00,-9.65E-01,18,14,286,327
1.28E+00,-4.85E-02,476,381,311,356
1.29E+00,3.81E-01,690,552,356,407
1.29E+00,9.74E-01,987,790,194,222
1.30E+00,2.25E-01,613,490,235,268
1.30E+00,3.41E-01,670,536,350,400
1.31E+00,1.12E+00,1062,849,429,490
1.31E+00,8.13E-01,906,725,303,347
1.32E+00,8.34E-01,917,734,291,332
1.32E+00,2.52E-01,626,501,536,612
1.33E+00,4.93E-01,746,597,821,939
1.33E+00,9.69E-02,548,439,768,878
1.34E+00,-5.00E-01,250,200,777,888
1.34E+00,-1.03E+00,-16,-13,838,958
1.35E+00,-5.36E-01,232,185,898,1026
1.35E+00,-3.42E-01,329,263,809,924
1.36E+00,-8.56E-01,72,57,600,686
1.36E+00,-1.52E+00,-260,-208,398,454
1.37E+00,-6.98E-01,151,121,389,445
1.37E+00,2.63E-02,513,411,259,296
1.38E+00,9.09E-01,955,764,142,162
1.38E+00,2.21E-01,610,488,336,384
1.39E+00,2.91E-02,515,412,494,564
1.39E+00,9.27E-01,964,771,472,540
1.40E+00,9.42E-01,971,777,236,270
1.40E+00,1.37E-02,507,405,298,340
1.41E+00,-2.15E-01,393,314,545,623
1.41E+00,-9.61E-02,452,362,837,957
1.42E+00,3.67E-01,683,547,724,828
1.42E+00,-8.41E-02,458,366,486,555
1.43E+00,-4.15E-02,479,383,198,226
1.43E+00,-9.03E-02,455,364,467,533
1.44E+00,-3.98E-01,301,241,739,845
1.44E+00,-4.50E-01,275,220,624,713
1.45E+00,-1.85E-01,408,326,411,470
1.45E+00,-1.58E-01,421,337,275,314
1.46E+00,-3.40E-01,330,264,326,373
1.46E+00,-4.65E-01,267,214,976,1116
1.47E+00,-1.12E-01,444,355,1277,1459
1.47E+00,3.54E-01,677,541,906,1035
1.48E+00,3.72E-01,686,549,631,721
1.48E+00,-1.52E-01,424,339,505,578
1.49E+00,-5.05E-01,247,198,1388,1586
1.49E+00,-2.07E-01,397,317,1756,2007
1.50E+00,-1.07E-01,447,357,1388,1586
1.50E+00,-3.78E-01,311,249,431,493
1.51E+00,-8.71E-01,65,52,278,317
1.51E+00,-9.17E-01,42,33,700,800
1.52E+00,-5.82E-01,209,167,1522,1740
1.52E+00,-6.00E-01,200,160,700,800
1.53E+00,-7.19E-01,141,112,-466,-532
1.53E+00,-6.19E-01,191,153,-1177,-1346
1.54E+00,9.98E-02,550,440,-628,-717
1.54E+00,3.98E-01,699,559,544,622
1.55E+00,2.88E-01,644,515,670,766
1.55E+00,-9.22E-02,454,363,743,849
1.56E+00,2.82E-01,641,513,994,1136
1.56E+00,2.70E-01,635,508,1448,1655
1.57E+00,4.46E-02,522,418,1700,1942
1.57E+00,-4.15E-01,292,234,1785,2040
1.58E+00,-2.51E-01,375,300,1938,2215
1.58E+00,-2.91E-01,355,284,607,693
1.59E+00,-3.55E-01,323,258,475,542
1.59E+00,-2.97E-01,352,281,166,189
1.60E+00,-2.72E-01,364,291,-378,-432
1.60E+00,-1.69E-01,415,332,875,1000
1.61E+00,-1.11E-01,444,355,675,772
1.61E+00,-2.06E-01,397,318,735,840
1.62E+00,1.94E-02,510,408,624,713
1.62E+00,9.24E-02,546,437,607,694
1.63E+00,1.93E-01,596,477,217,248
1.63E+00,2.83E-02,514,411,1317,1505
1.64E+00,-1.39E-01,430,344,569,650
1.64E+00,-1.64E-01,418,335,-337,-385
1.65E+00,-2.12E-01,394,315,586,670
1.65E+00,-2.16E-01,392,314,501,572
1.66E+00,-2.80E-01,360,288,595,680
1.66E+00,-8.48E-02,458,366,612,699
1.67E+00,-2.22E-01,389,311,1017,1162
1.67E+00,-3.71E-01,314,252,1605,1834
1.68E+00,-5.33E-01,234,187,1694,1936
1.68E+00,-9.42E-02,453,362,1087,1242
1.69E+00,2.14E-02,511,409,-66,-75
1.69E+00,-1.52E-05,500,400,-321,-367
1.70E+00,-5.18E-02,474,379,-112,-128
1.70E+00,3.89E-01,695,556,177,203
1.71E+00,6.24E-01,812,650,874,999
1.71E+00,5.54E-01,777,621,-406,-464
1.72E+00,2.55E-01,628,502,879,1004
1.72E+00,-1.58E+00,-290,-232,1088,1243
1.73E+00,2.49E-01,625,500,1137,1299
1.73E+00,-7.46E-01,127,101,973,1112
1.74E+00,-1.16E+00,-80,-64,664,759
1.74E+00,-1.46E+00,-229,-184,700,800
1.75E+00,-1.09E+00,-47,-37,715,817
1.75E+00,5.53E-01,777,621,634,725
1.76E+00,1.42E+00,1210,968,327,374
1.76E+00,1.29E+00,1146,917,440,503
1.77E+00,4.52E-01,726,581,545,623
1.77E+00,-1.26E-01,437,350,641,732
1.78E+00,-1.51E-01,425,340,504,576
1.78E+00,-2.85E-01,358,286,549,628
1.79E+00,-1.63E-01,419,335,551,630
1.79E+00,-1.48E+00,-241,-192,585,669
1.80E+00,-1.87E-01,406,325,603,689
1.80E+00,8.81E-01,941,752,720,823
1.81E+00,-6.90E-01,155,124,835,954
1.81E+00,-1.33E-01,434,347,765,874
1.82E+00,-1.09E-01,446,357,714,816
1.82E+00,4.97E-02,525,420,556,635
1.83E+00,-3.56E-02,482,386,622,711
1.83E+00,2.50E-01,625,500,582,665
1.84E+00,-1.54E+00,-270,-216,509,582
1.84E+00,-7.63E-01,118,95,492,563
1.85E+00,-3.22E-01,339,271,452,516
1.85E+00,-1.33E-01,433,347,497,568
1.86E+00,1.77E+00,1385,1108,524,599
1.86E+00,1.55E+00,1275,1020,409,468
1.87E+00,1.43E+00,1214,971,731,836
1.87E+00,1.07E+00,1034,828,889,1016
1.88E+00,4.20E-01,710,568,898,1026
1.88E+00,6.10E-02,531,424,635,726
1.89E+00,-4.26E-02,479,383,902,1031
1.89E+00,-2.22E-01,389,311,979,1118
1.90E+00,-1.90E+00,-448,-359,770,880
1.90E+00,-2.68E+00,-841,-673,267,305
1.91E+00,-1.67E+00,-333,-266,197,225
1.91E+00,-3.37E-04,500,400,280,320
1.92E+00,1.17E+00,1087,870,293,335
1.92E+00,-4.93E-04,500,400,58,67
1.93E+00,-6.03E-01,198,159,90,103
1.93E+00,-3.84E-01,308,246,436,498
1.94E+00,9.83E-01,991,793,625,715
1.94E+00,1.51E+00,1255,1004,555,634
1.95E+00,9.82E-01,991,793,346,396
1.95E+00,-2.78E-01,361,289,594,678
1.96E+00,-9.85E-02,451,361,960,1097
1.96E+00,2.94E-01,647,518,947,1083
1.97E+00,8.24E-01,912,730,621,710
1.97E+00,3.94E-01,697,558,374,428
1.98E+00,-5.34E-01,233,186,462,528
1.98E+00,-6.07E-01,196,157,590,674
1.99E+00,-4.12E-01,294,235,571,652
1.99E+00,-1.08E-01,446,357,385,440
2.00E+00,5.62E-02,528,422,422,482
2.00E+00,-3.34E-01,333,267,637,728
2.01E+00,-7.17E-01,141,113,671,767
2.01E+00,-3.06E-01,347,277,641,733
2.02E+00,3.45E-02,517,414,957,1093
2.02E+00,1.96E-01,598,478,633,723
2.03E+00,-2.21E-01,389,311,550,628
2.03E+00,-5.75E-01,213,170,710,811
2.04E+00,-6.63E-01,169,135,1360,1554
2.04E+00,-3.25E-01,337,270,1349,1542
2.05E+00,-2.95E-01,353,282,720,823
2.05E+00,-5.20E-01,240,192,855,977
2.06E+00,-7.97E-01,101,81,1336,1527
2.06E+00,-6.30E-01,185,148,718,821
2.07E+00,-4.44E-01,278,222,211,242
2.07E+00,-4.32E-01,284,227,-364,-416
2.08E+00,-1.43E-01,429,343,101,115
2.08E+00,1.55E-01,578,462,461,527
2.09E+00,2.83E-01,642,513,324,371
2.09E+00,1.98E-01,599,479,-23,-26
2.10E+00,1.09E-01,555,444,350,400
2.10E+00,9.71E-02,549,439,768,878
2.11E+00,1.73E-01,587,469,1045,1194
2.11E+00,-2.35E-01,383,306,877,1002
2.12E+00,-5.85E-01,208,166,1284,1467
2.12E+00,-5.67E-01,217,173,1269,1450
2.13E+00,-3.87E-01,306,245,1486,1699
2.13E+00,-5.00E-01,250,200,939,1073
2.14E+00,-6.64E-01,168,134,858,980
2.14E+00,-7.22E-01,139,111,1382,1579
2.15E+00,-4.91E-01,254,204,966,1105
2.15E+00,-5.55E-01,222,178,666,761
2.16E+00,-5.92E-01,204,163,25,28
2.16E+00,-4.40E-01,280,224,210,240
2.17E+00,-3.48E-02,483,386,643,735
2.17E+00,1.99E-02,510,408,357,408
2.18E+00,-1.17E-01,441,353,419,479
2.18E+00,-1.42E-01,429,343,-1179,-1347
2.19E+00,4.41E-02,522,418,511,584
2.19E+00,5.01E-02,525,420,1587,1814
2.20E+00,-3.52E-02,482,386,1896,2167
2.20E+00,-3.09E-01,345,276,1459,1668
2.21E+00,-1.15E-01,443,354,-51,-59
2.21E+00,5.58E-02,528,422,177,202
2.22E+00,-1.48E-01,426,341,922,1054
2.22E+00,-5.47E-01,226,181,3392,3877
2.23E+00,-5.32E-01,234,187,2885,3297
2.23E+00,-3.22E-01,339,271,754,862
2.24E+00,-3.28E-02,484,387,-418,-477
2.24E+00,1.10E-01,555,444,-57,-66
2.25E+00,3.78E-01,689,551,-28,-32
2.25E+00,6.76E-01,838,670,469,536
2.26E+00,7.86E-01,893,714,-170,-195
2.26E+00,-1.09E+00,-45,-36,218,249
2.27E+00,-6.57E-01,171,137,3580,4092
2.27E+00,-1.69E+00,-343,-275,527,602
2.28E+00,-8.01E-01,100,80,416,475
2.28E+00,-3.08E+00,-1040,-832,1290,1474
2.29E+00,-2.87E+00,-934,-747,885,1011
2.29E+00,2.42E-02,512,410,872,997
2.30E+00,2.42E+00,1711,1369,938,1072
2.30E+00,2.58E+00,1792,1434,955,1092
2.31E+00,1.28E+00,1141,912,732,836
2.31E+00,1.07E+00,1036,828,527,602
2.32E+00,-6.25E-01,188,150,399,456
2.32E+00,-7.07E-01,147,117,619,707
2.33E+00,5.20E-01,760,608,647,739
2.33E+00,1.60E+00,1300,1040,466,532
2.34E+00,1.57E+00,1286,1029,203,233
2.34E+00,1.75E+00,1376,1101,442,505
2.35E+00,-5.80E+00,-2398,-1919,619,708
2.35E+00,-3.22E+00,-1111,-889,807,922
2.36E+00,1.30E-01,565,452,591,676
2.36E+00,-1.85E+00,-426,-341,398,454
2.37E+00,-2.41E+00,-703,-562,449,513
2.37E+00,-6.74E-01,163,130,585,669
2.38E+00,-1.63E+00,-315,-252,692,791
2.38E+00,1.07E-02,505,404,888,1015
2.39E+00,-4.58E-01,271,217,941,1076
2.39E+00,-2.08E+00,-539,-431,779,891
2.40E+00,-1.27E+00,-136,-108,618,706
2.40E+00,1.36E+00,1181,945,573,655
2.41E+00,3.58E+00,2291,1832,639,730
2.41E+00,3.77E+00,2383,1907,458,523
2.42E+00,1.84E+00,1420,1136,364,416
2.42E+00,1.44E+00,1220,976,537,613
2.43E+00,1.15E+00,1073,858,874,998
2.43E+00,9.42E-01,971,777,765,874
2.44E+00,1.23E+00,1115,892,548,626
2.44E+00,5.00E-01,750,600,392,448
2.45E+00,-6.05E-01,197,158,618,706
2.45E+00,-1.80E+00,-399,-319,575,658
2.46E+00,-1.93E+00,-465,-372,386,441
2.46E+00,-3.38E+00,-1191,-953,154,176
2.47E+00,-2.31E+00,-654,-523,548,626
2.47E+00,-3.53E-01,324,259,729,833
2.48E+00,6.18E-01,809,647,744,850
2.48E+00,7.46E-01,873,698,431,492
2.49E+00,2.98E-01,649,519,346,395
2.49E+00,1.34E-01,567,454,484,553
2.50E+00,2.47E-01,623,499,723,826
2.50E+00,6.06E-01,803,642,808,924
2.51E+00,4.69E-01,734,587,742,848
2.51E+00,4.11E-01,705,564,436,498
2.52E+00,7.64E-01,882,705,570,651
2.52E+00,1.18E+00,1092,873,749,856
2.53E+00,7.91E-01,895,716,766,875
2.53E+00,4.35E-01,717,574,380,435
2.54E+00,-2.35E-01,382,306,52,60
2.54E+00,-4.88E-01,256,205,140,160
2.55E+00,-8.14E-01,93,75,741,846
2.55E+00,-9.51E-01,25,20,1267,1448
2.56E+00,-1.03E+00,-16,-13,413,472
2.56E+00,-9.20E-01,40,32,-316,-361
2.57E+00,-7.59E-01,120,96,-24,-28
2.57E+00,-6.25E-01,187,150,1099,1256
2.58E+00,-2.97E-01,352,281,1610,1840
2.58E+00,-1.23E-01,438,351,1171,1339
2.59E+00,-1.08E-01,446,357,377,430
2.59E+00,7.46E-02,537,430,556,635
2.60E+00,1.81E-01,591,472,1295,1480
2.60E+00,4.40E-02,522,418,2243,2564
2.61E+00,-7.18E-02,464,371,1108,1266
2.61E+00,-6.53E-01,173,139,147,168
2.62E+00,-9.52E-01,24,19,228,260
2.62E+00,-1.08E+00,-41,-33,999,1142
2.63E+00,-1.16E+00,-82,-66,511,584
2.63E+00,-8.09E-01,96,76,251,287
2.64E+00,-2.73E-01,363,291,62,71
2.64E+00,5.86E-02,529,423,356,407
2.65E+00,1.62E-01,581,465,861,984
2.65E+00,4.93E-02,525,420,1115,1274
2.66E+00,-1.46E-01,427,342,1072,1225
2.66E+00,-1.55E-01,423,338,424,485
2.67E+00,1.86E-01,593,474,143,164
2.67E+00,2.04E-01,602,482,2044,2336
2.68E+00,4.89E-02,524,420,1565,1788
2.68E+00,-3.10E-01,345,276,2500,2857
2.69E+00,-2.19E-01,390,312,968,1106
2.69E+00,-3.78E-01,311,249,-391,-447
2.70E+00,-6.88E-01,156,125,-788,-900
2.70E+00,-7.86E-01,107,86,1418,1620
2.71E+00,-4.33E-01,284,227,2428,2775
2.71E+00,-3.08E-01,346,277,1529,1747
2.72E+00,-3.99E-01,300,240,661,756
2.72E+00,-5.03E-01,249,199,632,722
2.73E+00,-1.86E-01,407,325,581,664
2.73E+00,1.15E-01,557,446,-7,-9
2.74E+00,1.54E-01,577,462,858,980
2.74E+00,8.44E-02,542,434,828,946
2.75E+00,1.73E-02,509,407,380,435
2.75E+00,-8.01E-02,460,368,344,394
2.76E+00,-1.41E-01,429,344,1007,1151
2.76E+00,-1.87E-01,407,325,1597,1826
2.77E+00,-4.69E-02,477,381,1623,1855
2.77E+00,7.82E-03,504,403,524,598
2.78E+00,-1.75E-01,413,330,-54,-62
2.78E+00,-4.00E-01,300,240,383,438
2.79E+00,-3.73E-01,314,251,421,482
2.79E+00,1.97E-02,510,408,59,68
2.80E+00,1.84E-01,592,474,-441,-505
2.80E+00,3.30E-01,665,532,539,616
2.81E+00,5.95E-01,797,638,969,1108
2.81E+00,7.20E-01,860,688,1106,1264
2.82E+00,7.44E-01,872,698,961,1098
2.82E+00,-2.39E+00,-694,-555,712,813
2.83E+00,-4.25E-01,287,230,718,821
2.83E+00,-7.85E-01,108,86,739,845
2.84E+00,-1.31E+00,-154,-123,737,843
2.84E+00,-6.36E-01,182,146,825,943
2.85E+00,6.75E-02,534,427,786,899
2.85E+00,8.35E-01,917,734,825,943
2.86E+00,-3.92E-02,480,384,691,789
2.86E+00,-8.58E-01,71,57,484,553
2.87E+00,-4.23E-01,289,231,461,526
2.87E+00,9.90E-01,995,796,535,612
2.88E+00,2.55E+00,1774,1419,650,743
2.88E+00,1.12E+00,1062,849,580,663
2.89E+00,1.77E+00,1383,1106,736,841
2.89E+00,-3.89E+00,-1447,-1157,787,899
2.90E+00,-1.91E+00,-453,-362,369,422
2.90E+00,1.55E-01,577,462,482,551
2.91E+00,1.00E+00,1001,800,580,663
2.91E+00,-1.37E-01,431,345,723,827
2.92E+00,9.10E-01,955,764,585,668
2.92E+00,3.59E-01,679,543,557,637
2.93E+00,3.89E-02,519,416,702,802
2.93E+00,1.23E+00,1116,893,875,1000
2.94E+00,1.72E+00,1360,1088,700,800
2.94E+00,1.81E+00,1404,1123,534,610
2.95E+00,1.16E+00,1082,866,355,406
2.95E+00,8.82E-01,941,753,700,800
2.96E+00,2.18E-01,609,487,805,920
